CodProducto,NbrProducto,PVP,UltPrecioCompra,Inventariable,Subfamilia,ProveedorHabitual,Bloqueado,FechaUltModif,Tipo,TipoIVA
"09004665","JUEGOS 4 EN 1",2.65000000000000000000,1.08666700000000000000,1,"09","000386",0,"11/09/12 00:00:00","TIENDA","IVA21"
"09004670","MUÑECO PRESIDIARIO SURTIDO",2.65000000000000000000,1.08500000000000000000,1,"09","000386",0,"11/09/12 00:00:00","TIENDA","IVA21"
"09004671","PIZARRA MAGNETICA INFANTIL",2.65000000000000000000,1.08600000000000000000,1,"09","000386",0,"11/13/12 00:00:00","TIENDA","IVA21"
"09004672","PIZARRA NGRA.C/TIZA Y BORRADOR",2.65000000000000000000,1.08600000000000000000,1,"09","000386",0,"11/13/12 00:00:00","TIENDA","IVA21"
"09004678","MOCHILA MINNIE PQ 28X22X8CM",4.10000000000000000000,1.69333300000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004683","BOLSA MULTIUSOS MICKEY",3.55000000000000000000,1.47166700000000000000,1,"09","000423",0,"11/30/12 00:00:00","TIENDA","IVA21"
"09004684","MOCHILA MICKEY PEQ.28X22X8CM",4.10000000000000000000,2.31000000000000000000,1,"09","000423",0,"11/30/12 00:00:00","TIENDA","IVA21"
"09004687","LLAVERO BOLA BILLAR 8 NGR",0.50000000000000000000,0.20687500000000000000,1,"09","000423",0,"11/30/12 00:00:00","TIENDA","IVA21"
"09004688","HUCHA MET.PUZZLE PRINCESAS",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004693","BUDA SENTADO PORTAVELA GRD RES",6.90000000000000000000,2.83500000000000000000,1,"09","000423",0,"02/08/13 00:00:00","TIENDA","IVA21"
"09004694","MOCHILA PRINCESAS PQ 28X22X8CM",4.10000000000000000000,1.69333300000000000000,1,"09","000423",0,"03/04/13 00:00:00","TIENDA","IVA21"
"09004698","BOLSA MULTIUSOS MINNIE",3.55000000000000000000,1.47000000000000000000,1,"09","000423",0,"12/03/12 00:00:00","TIENDA","IVA21"
"09004700","BOLSO BANDOL. PRINCESAS 13X16",2.50000000000000000000,1.02500000000000000000,1,"09","000423",0,"02/12/13 00:00:00","TIENDA","IVA21"
"09004702","BOLSO BANDOL SPIDERMAN 13X16CM",2.50000000000000000000,1.02500000000000000000,1,"09","000423",0,"02/12/13 00:00:00","TIENDA","IVA21"
"09004703","PORTAVELA CARA BUDA RES.",2.30000000000000000000,0.94000000000000000000,1,"09","000423",0,"02/08/13 00:00:00","TIENDA","IVA21"
"09004705","BOLSO BANDOL. MINNIE 13X16CM",2.50000000000000000000,1.02500000000000000000,1,"09","000423",0,"03/20/13 00:00:00","TIENDA","IVA21"
"09004708","HUCHA VEHICULO CER.10X7CM",2.40000000000000000000,0.98333300000000000000,1,"09","000423",0,"12/05/12 00:00:00","TIENDA","IVA21"
"09004710","HUCHA MET.PUZZLE MICKEY",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004716","MOCHILA SPIDERMAN 28X22X8CM",5.60000000000000000000,2.31000000000000000000,1,"09","000423",0,"04/22/13 00:00:00","TIENDA","IVA21"
"09004717","NECESER PRINCESAS C/ASA ROSA",3.40000000000000000000,1.40000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004718","NECESER MICKEY C/ASA AZUL",3.40000000000000000000,1.40000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004719","BANDOLERA C.KITTY BLANCA/ROSA",17.90000000000000000000,7.40000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004720","BILLETERO C.KITTY AZL/ROS/BLCO",17.90000000000000000000,7.40000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004722","BOLSO BETTY BOOP ASA/CADEN.ORO",15.90000000000000000000,6.57000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004723","BANDOLERA C.KITTY CHAROL AZL",17.90000000000000000000,7.40000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004724","BOLSO BETTY BOOP NGR C/MOTO",9.00000000000000000000,3.72000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004725","BILLETERO BETTY BOOP C/CEREZAS",13.90000000000000000000,5.74000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004726","BILLETERO BETTY FLORES/PAJAROS",15.90000000000000000000,6.57000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004727","GORRO+GUANTES MONSTER NGR",10.20000000000000000000,4.21000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004728","BOLSO BETTY BOOP NGR/RSA 74V",7.90000000000000000000,3.26000000000000000000,1,"09","000410",0,"12/19/12 00:00:00","TIENDA","IVA21"
"09004731","PUZZLE REY LEON 100 PZAS",5.30000000000000000000,2.17333300000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004732","PUZZLE MICKEY 50 PZAS",5.30000000000000000000,2.17333300000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004733","HUCHA MET.PUZZLE CARS",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004734","PLASTILINA CUENCO",3.90000000000000000000,1.61250000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004735","PUZZLE PRINCESAS 24 PZAS",5.30000000000000000000,2.17500000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004738","MUÑECA PRINCESA",2.35000000000000000000,0.97500000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004739","DOMINO JUEGO MESA CAJA METALIC",4.25000000000000000000,1.76000000000000000000,1,"09","000423",0,"01/30/13 00:00:00","TIENDA","IVA21"
"09004740","MUÑECA GOTHICA SURT.",3.95000000000000000000,1.62833300000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004741","LINTERNA PROYECCION CARS",2.90000000000000000000,1.19000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004742","BOLSA BANDOLERA KITTY C/CARAM.",2.30000000000000000000,0.94187500000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004743","CUERDA D/SALTAR PLAST.COLORS",1.20000000000000000000,0.48833300000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004746","LINTERNA PROYECCION PITUFOS",2.90000000000000000000,1.19000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004747","LINTERNA PROYECC.HANDY MANNY",2.85000000000000000000,1.19000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004748","LINTERNA PROYECC.TIGGER/POOH",2.85000000000000000000,1.19000000000000000000,1,"09","000423",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004749","ANIMALES SURT.ENAMORADOS 12CM",4.40000000000000000000,1.80000000000000000000,1,"09","000340",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004750","CASTAÑUELAS ARTISTAS COLORES",4.50000000000000000000,1.85500000000000000000,1,"09","000340",0,"01/17/13 00:00:00","TIENDA","IVA21"
"09004751","BARAJA INF.DISNEY PRINCESAS",3.30000000000000000000,1.35000000000000000000,1,"09","000340",0,"02/12/13 00:00:00","TIENDA","IVA21"
"09004752","BARAJA ESPAÑOLA REF.212",0.90000000000000000000,0.37166700000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA21"
"09004753","LIBRETA SPIDERMAN 12CM TD",1.00000000000000000000,0.39666700000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004754","LIBRETA HELLO KITTY 15CM TD",1.60000000000000000000,0.64500000000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004755","LIBRETA PRINCESAS 15CM TD",1.00000000000000000000,0.41333300000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004756","LIBRETA FANTASY C/BOLI 15CM TB",0.60000000000000000000,0.28916700000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA04"
"09004757","LIBRETA MICKEY 15CM TD",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004758","LIBRETA DORA 12CM TD",0.85000000000000000000,0.33833300000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004760","LIBRETA CARS 15CM TD",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004761","MUÑECA GOTHICA 29CM",9.45000000000000000000,3.90416700000000000000,1,"09","000340",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004762","ORGANO INFANTIL ANIMALES",10.90000000000000000000,4.50000000000000000000,1,"09","000340",0,"01/18/13 00:00:00","TIENDA","IVA21"
