Ticket,Fecha,CodTienda,CodCliente
"S2-13-003-255906","01/01/13 00:00:00","003","005265"
"S2-13-003-255915","01/01/13 00:00:00","003","001163"
"S2-13-003-255916","01/01/13 00:00:00","003","006044"
"S2-13-003-255918","01/01/13 00:00:00","003","005794"
"S2-13-003-255933","01/02/13 00:00:00","003","001017"
"S2-13-003-255945","01/03/13 00:00:00","003","006680"
"S2-13-003-255947","01/03/13 00:00:00","003","005896"
"S2-13-003-255950","01/04/13 00:00:00","003","009987"
"S2-13-003-255961","01/04/13 00:00:00","003","006057"
"S2-13-003-255973","01/04/13 00:00:00","003","000026"
"S2-13-003-255985","01/05/13 00:00:00","003","005265"
"S2-13-003-255994","01/05/13 00:00:00","003","005896"
"S2-13-003-256003","01/05/13 00:00:00","003","005265"
"S2-13-003-256015","01/06/13 00:00:00","003","002639"
"S2-13-003-256020","01/06/13 00:00:00","003","000666"
"S2-13-003-256029","01/07/13 00:00:00","003","005265"
"S2-13-003-256035","01/07/13 00:00:00","003","005430"
"S2-13-003-256044","01/07/13 00:00:00","003","006521"
"S2-13-003-256046","01/08/13 00:00:00","003","005471"
"S2-13-003-256052","01/08/13 00:00:00","003","001179"
"S2-13-003-256062","01/08/13 00:00:00","003","005265"
"S2-13-003-256065","01/08/13 00:00:00","003","006060"
"S2-13-003-256075","01/09/13 00:00:00","003","007222"
"S2-13-003-256101","01/10/13 00:00:00","003","000633"
"S2-13-003-256106","01/10/13 00:00:00","003","002639"
"S2-13-003-256108","01/10/13 00:00:00","003","002514"
"S2-13-003-256113","01/10/13 00:00:00","003","007047"
"S2-13-003-256123","01/10/13 00:00:00","003","006162"
"S2-13-003-256136","01/11/13 00:00:00","003","002514"
"S2-13-003-256140","01/11/13 00:00:00","003","005471"
"S2-13-003-256160","01/12/13 00:00:00","003","004968"
"S2-13-003-256161","01/12/13 00:00:00","003","005265"
"S2-13-003-256164","01/12/13 00:00:00","003","004968"
"S2-13-003-256173","01/13/13 00:00:00","003","005265"
"S2-13-003-256182","01/13/13 00:00:00","003","005430"
"S2-13-003-256184","01/13/13 00:00:00","003","004968"
"S2-13-003-256186","01/13/13 00:00:00","003","008690"
"S2-13-003-256188","01/13/13 00:00:00","003","006163"
"S2-13-003-256189","01/13/13 00:00:00","003","006163"
"S2-13-003-256203","01/14/13 00:00:00","003","009987"
"S2-13-003-256205","01/14/13 00:00:00","003","000327"
"S2-13-003-256217","01/15/13 00:00:00","003","006377"
"S2-13-003-256222","01/15/13 00:00:00","003","006449"
"S2-13-003-256226","01/15/13 00:00:00","003","005590"
"S2-13-003-256227","01/15/13 00:00:00","003","009987"
"S2-13-003-256230","01/15/13 00:00:00","003","007785"
"S2-13-003-256239","01/15/13 00:00:00","003","008656"
"S2-13-003-256240","01/15/13 00:00:00","003","006649"
"S2-13-003-256241","01/16/13 00:00:00","003","001163"
"S2-13-003-256250","01/16/13 00:00:00","003","004968"
"S2-13-003-256268","01/17/13 00:00:00","003","005264"
"S2-13-003-256271","01/17/13 00:00:00","003","005265"
"S2-13-003-256284","01/17/13 00:00:00","003","007456"
"S2-13-003-256286","01/17/13 00:00:00","003","003245"
"S2-13-003-256288","01/17/13 00:00:00","003","006182"
"S2-13-003-256289","01/17/13 00:00:00","003","005265"
"S2-13-003-256297","01/18/13 00:00:00","003","000513"
"S2-13-003-256299","01/18/13 00:00:00","003","004968"
"S2-13-003-256301","01/18/13 00:00:00","003","009987"
"S2-13-003-256303","01/18/13 00:00:00","003","005896"
"S2-13-003-256306","01/18/13 00:00:00","003","005470"
"S2-13-003-256316","01/18/13 00:00:00","003","009987"
"S2-13-003-256326","01/18/13 00:00:00","003","001179"
"S2-13-003-256327","01/18/13 00:00:00","003","009155"
"S2-13-003-256329","01/19/13 00:00:00","003","005430"
"S2-13-003-256330","01/19/13 00:00:00","003","005471"
"S2-13-003-256337","01/19/13 00:00:00","003","008054"
"S2-13-003-256348","01/19/13 00:00:00","003","009987"
"S2-13-003-256349","01/19/13 00:00:00","003","002639"
"S2-13-003-256352","01/19/13 00:00:00","003","004968"
"S2-13-003-256359","01/19/13 00:00:00","003","006711"
"S2-13-003-256361","01/19/13 00:00:00","003","000074"
"S2-13-003-256364","01/19/13 00:00:00","003","000026"
"S2-13-003-256365","01/19/13 00:00:00","003","001163"
"S2-13-003-256373","01/20/13 00:00:00","003","006744"
"S2-13-003-256376","01/20/13 00:00:00","003","006487"
"S2-13-003-256377","01/20/13 00:00:00","003","005470"
"S2-13-003-256386","01/20/13 00:00:00","003","006163"
"S2-13-003-256387","01/20/13 00:00:00","003","004968"
"S2-13-003-256389","01/20/13 00:00:00","003","005880"
"S2-13-003-256391","01/20/13 00:00:00","003","007039"
"S2-13-003-256395","01/21/13 00:00:00","003","005794"
